name,category,district,address,latitude,longitude
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로24길 52 (역삼동),37.5036050012,127.0315624554
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로24길65 (역삼동),37.5026724991,127.0320877222
의류수거함,CLOTHES,,서울특별시 강남구 테헤란로13길 22-11 (역삼동),37.501669683,127.0320757576
의류수거함,CLOTHES,,서울특별시 강남구 강남대로94길 51-14 (역삼동),37.5013576685,127.0310495435
의류수거함,CLOTHES,,서울특별시 강남구 강남대로 94길 51-4 (역삼동),37.5006681294,127.0313878513
의류수거함,CLOTHES,,서울특별시 강남구 논현로97길29 (역삼동),37.5026847792,127.0332947761
의류수거함,CLOTHES,,서울특별시 강남구 논현로95길 33 (역삼동),37.5015406599,127.0333733193
의류수거함,CLOTHES,,서울특별시 강남구 테헤란로21길24 (역삼동),37.5017528512,127.0343013358
의류수거함,CLOTHES,,서울특별시 강남구 논현로95길 17 (역삼동),37.5020332776,127.0344960966
의류수거함,CLOTHES,,서울특별시 강남구논현로79길 24,37.4975937599,127.0362687127
의류수거함,CLOTHES,,서울특별시 강남구 테헤란로 22길 45,37.4969707961,127.0359999475
의류수거함,CLOTHES,,서울특별시 강남구 역삼로5길 7,37.4942940126,127.0321933735
의류수거함,CLOTHES,,서울특별시 강남구강남대로 78길 35,37.4957088628,127.0321966949
의류수거함,CLOTHES,,서울특별시 강남구 테헤란로 10길 30,37.4971396883,127.0327541412
의류수거함,CLOTHES,,서울특별시 강남구 논현로67길 13,37.4939337472,127.0389216198
의류수거함,CLOTHES,,서울특별시 강남구 논현로67길 13-3,37.4938153364,127.0389776462
의류수거함,CLOTHES,,서울특별시 강남구 논현로57길 60,37.4930883678,127.0350675553
의류수거함,CLOTHES,,서울특별시 강남구 강남대로 66길 32,37.4922851473,127.0334185028
의류수거함,CLOTHES,,,37.4921387441,127.0353736053
의류수거함,CLOTHES,,서울특별시 강남구 도곡로 17길 18,37.492591612,127.0372285914
의류수거함,CLOTHES,,서울특별시 강남구 도곡로 17길 11,37.4922818379,127.036966549
의류수거함,CLOTHES,,서울특별시 강남구  테헤란로16길 42,37.4968582322,127.0345863325
의류수거함,CLOTHES,,서울특별시 강남구 도곡로 21길 7,37.4925927947,127.0388717349
의류수거함,CLOTHES,,서울특별시 강남구 논현로 65길 14,37.4934317987,127.0391864182
의류수거함,CLOTHES,,서울특별시 강남구 논현로 65길 26,37.493167996,127.0383252945
의류수거함,CLOTHES,,서울특별시 강남구 논현로 65길 30,37.4930106103,127.0379836022
의류수거함,CLOTHES,,서울특별시 강남구 논현로65길 34,37.4929188128,127.0376548352
의류수거함,CLOTHES,,서울특별시 강남구 도곡로19길 11,37.4924719914,127.0379738308
의류수거함,CLOTHES,,서울특별시 강남구 테헤란로 39길 31,37.5045375342,127.0407174409
의류수거함,CLOTHES,,서울특별시 강남구 테헤란로37길 36,37.5046077197,127.0401993837
의류수거함,CLOTHES,,서울특별시 강남구 논현로102길 40,37.5056614307,127.0383466092
의류수거함,CLOTHES,,서울특별시 강남구 언주로99길 14,37.5057904641,127.0396818012
의류수거함,CLOTHES,,서울특별시 강남구 언주로99길 20,37.5056286291,127.039185328
의류수거함,CLOTHES,,서울특별시 강남구 언주로99길 26,37.5054462424,127.038709317
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로34길 51,37.5051164155,127.0383377351
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로34길 38,37.5059515916,127.0376706543
의류수거함,CLOTHES,,서울특별시 강남구 언주로103길 15,37.5064646201,127.0387960245
의류수거함,CLOTHES,,서울특별시 강남구 테헤란로 39길 77,37.5071349195,127.0389430626
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로34길 21,37.506955188,127.0372068826
의류수거함,CLOTHES,,서울특별시 강남구 논현로 566,37.5070324421,127.0347144182
의류수거함,CLOTHES,,서울특별시 강남구 논현로101길 16,37.5043359707,127.033582095
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로20길 43,37.5043409719,127.0331012124
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로20길 37,37.5046324841,127.032644657
의류수거함,CLOTHES,,서울특별시 강남구봉은사로20길 31,37.5048162105,127.0322751364
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로20길 23,37.5051538051,127.0316536985
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로18길24,37.5048508035,127.0298996633
의류수거함,CLOTHES,,서울특별시 강남구 븡은사로16길 38,37.5041706329,127.0284469013
의류수거함,CLOTHES,,서울특별시 강남구 강남대로100길 13-7,37.5022213561,127.0274796692
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로18길 82,37.501382881,127.0274755168
의류수거함,CLOTHES,,서울특별시 강남구 테헤란로5길 41,37.5013136656,127.0290574167
의류수거함,CLOTHES,,서울특별시 강남구 봉은사로30길 47,37.5045619468,127.0363098576
의류수거함,CLOTHES,,서울특별시 강남구 테헤란로5길 55,37.5021464987,127.0292872049
의류수거함,CLOTHES,,서울특별시 강남구 일원로3길 55 (일원동),37.4927426947,127.0843597391
의류수거함,CLOTHES,,서울특별시 강남구 개포로128길 35 (일원동),37.4929200673,127.0842834973
의류수거함,CLOTHES,,서울특별시 강남구 개포로128길 25 (일원동),37.4935356354,127.0840303248
의류수거함,CLOTHES,,서울특별시 강남구 개포로124길 19 (일원동),37.4934777427,127.0832071524
의류수거함,CLOTHES,,"서울특별시 강남구 개포로124길 22 (일원동, 다세대주택)",37.4933493917,127.0828903872
의류수거함,CLOTHES,,서울특별시 강남구 일원로3길 92 (일원동),37.4932237999,127.0866456143
