name,category,district,address,latitude,longitude
보라매동주민센터,BATTERY,,서울특별시 관악구 봉천로 279-8,37.48817576,126.932778
연희빌라정문 앞,BATTERY,,서울특별시 관악구 봉천로13길 101,37.4923589,126.9326777
보라매동주민센터,BATTERY,,서울특별시 관악구 봉천로 279-8,37.48817576,126.932778
적성빌라,BATTERY,,서울특별시 관악구 봉천로13다길 8,37.49090002,126.9325749
해태보라매타워 주차장 입구,BATTERY,,서울특별시 관악구 보라매로3길 29,37.49121134,126.9249903
보라매삼성아파트 105동 앞,BATTERY,,서울특별시 관악구 보라매로 62,37.4948015,126.9276026
보라매삼성아파트 103동 앞,BATTERY,,서울특별시 관악구 보라매로 62,37.4948015,126.9276026
보라매삼성아파트 101동 앞,BATTERY,,서울특별시 관악구 보라매로 62,37.4948015,126.9276026
보라매삼성아파트 107동 앞,BATTERY,,서울특별시 관악구 보라매로 62,37.4948015,126.9276026
해바라기아파트,BATTERY,,서울특별시 관악구 보라매로6길 33,37.49306366,126.928976
그린아파트,BATTERY,,서울특별시 관악구 봉천로23다길 13,37.48769758,126.9364891
복권아파트,BATTERY,,서울특별시 관악구 은천로5길 39,37.48801732,126.9383172
보라매동주민센터,BATTERY,,서울특별시 관악구 봉천로 279-8,37.48817576,126.932778
두산아파트 301동,BATTERY,,서울특별시 관악구 양녕로 31,37.48515235,126.9457794
은천동주민센터 주차장,BATTERY,,서울특별시 관악구 봉천로33나길 30,37.48530456,126.9424095
한울작은도서관,BATTERY,,서울특별시 관악구 은천로9길 20,37.48708055,126.9409749
국지경로당,BATTERY,,서울특별시 관악구 국회단지21길 14,37.49028104,126.94155
벽산블루밍 3차 605동,BATTERY,,서울특별시 관악구 은천로15길 24,37.48780327,126.9443522
벽산블루밍 3차 604동,BATTERY,,서울특별시 관악구 은천로15길 24,37.48780327,126.9443522
벽산블루밍 3차 601동,BATTERY,,서울특별시 관악구 은천로15길 24,37.48780327,126.9443522
한울작은도서관,BATTERY,,서울특별시 관악구 은천로9길 20,37.48708055,126.9409749
은천동주민센터 주차장,BATTERY,,서울특별시 관악구 봉천로33나길 30,37.48530456,126.9424095
성현동아아파트 관리사무소 옆,BATTERY,,서울특별시 관악구 관악로 285,37.48939185,126.9554433
성현동아아파트 110동,BATTERY,,서울특별시 관악구 관악로 285,37.48939185,126.9554433
관악드림타운 115동,BATTERY,,서울특별시 관악구 성현로 80,37.48984744,126.9529855
동부센트레빌아파트 106동 지하입구,BATTERY,,서울특별시 관악구 은천로33길 5,37.48730012,126.9501559
성현동 주민센터 옆,BATTERY,,서울특별시 관악구 구암길 38,37.48952989,126.9481596
자치회관 후문,BATTERY,,서울특별시 관악구 관악로 255-7,37.48721429,126.9566329
